Question,Answer
What message did a Taiwan official convey to their Chinese counterparts in a broadcast message?,"""You have entered our country’s restricted waters. Please turn around immediately."""
Who released the footage showing the exchange between Taiwan and Chinese officials?,Taiwan's coast guard released the footage.
What was the impact of tracking the movement of two Chinese ships?,"The move seriously impacted traffic and safety, according to Taiwan's coast guard."
What did Taiwan's coast guard urge the Chinese ships to do?,Taiwan's coast guard urged the Chinese ships to stop such behaviors to avoid naval incidents.
Was there any immediate comment from China's coast guard?,"No, there was no immediate comment from China's coast guard."
Where did China's coast guard conduct patrols on Friday?,China's coast guard conducted patrols near the Kinmen Islands on Friday.
How many Chinese coast guard boats were warned away during the patrols?,Four Chinese coast guard boats were warned away during the patrols.
What prompted China's coast guard to begin regular patrols around Kinmen?,The death of two Chinese nationals while trying to flee Taiwan's coast guard.
Why did Taiwan dispatch coast guard boats to join a rescue mission at China's request?,A Chinese fishing vessel capsized near the Kinmen islands.
What has Taiwan's government emphasized regarding Taiwan and China?,The importance of cooperation between the two countries.
